Symbol,Description,Technical Rating 1 day,Moving Averages Rating 1 day,Oscillators Rating 1 day,Relative Strength Index (14) 1 day,Momentum (10) 1 day,Awesome Oscillator 1 day,Commodity Channel Index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick Pattern 1 day
NVDA,NVIDIA Corporation,Strong buy,Strong buy,Buy,76.2823301,27.3,18.51322912,137.1302346,92.77977828,92.51587437,
GOOG,Alphabet Inc.,Strong buy,Strong buy,Buy,72.54268835,29.31,28.00020147,106.5522076,95.40651628,94.02542153,
AAPL,Apple Inc.,Buy,Strong buy,Neutral,55.23902458,8.41,11.97535407,53.36206143,78.3777953,85.31202905,
MSFT,Microsoft Corporation,Buy,Buy,Neutral,63.53863456,40.45,30.26977882,81.30751519,82.13916973,85.13068602,
AMZN,"Amazon.com, Inc.",Buy,Strong buy,Sell,75.9091685,21.23,32.00460588,97.90286124,94.69536895,94.75730606,
AVGO,Broadcom Inc.,Buy,Strong buy,Neutral,74.29943287,38.45,64.89862647,88.76896597,91.07769646,94.01688056,
META,"Meta Platforms, Inc.",Buy,Strong buy,Neutral,62.37784878,44.09,48.16837324,76.36231876,82.83820107,82.41536561,
TSLA,"Tesla, Inc.",Sell,Sell,Neutral,50.04746929,26.25,3.219023235,20.31557239,54.12074328,58.40979554,
BRK.A,Berkshire Hathaway Inc.,Sell,Strong sell,Neutral,42.19551182,-12149.95,-14074.4064,-61.55135329,25.3980597,19.90598017,
WMT,Walmart Inc.,Buy,Strong buy,Neutral,52.51158732,3.02,4.690695294,55.26778004,76.51991614,87.41028051,
JPM,JP Morgan Chase & Co.,Buy,Strong buy,Neutral,58.21090166,-2.05,13.93170882,43.36836272,57.22958427,66.38518627,
LLY,Eli Lilly and Company,Strong sell,Strong sell,Sell,35.48076808,-61.28,-30.18617794,-172.9479555,19.20551578,31.05667786,
XOM,Exxon Mobil Corporation,Sell,Sell,Sell,40.68398643,-4.45,-7.348171985,-58.16217745,33.30064456,31.55493459,
MU,"Micron Technology, Inc.",Strong buy,Strong buy,Buy,73.19857121,98,65.40795618,143.3857882,92.8363646,92.27853431,
V,Visa Inc.,Sell,Sell,Neutral,50.01375516,0.26,2.473089706,17.39318745,45.06712067,52.05802912,
AMD,"Advanced Micro Devices, Inc.",Buy,Strong buy,Sell,80.24976153,87.8,78.98190588,156.0503737,92.16569753,95.25668143,
JNJ,Johnson & Johnson,Sell,Strong sell,Sell,32.89071883,-12.62,-10.45762147,-129.8473253,19.85312118,19.04937798,
ORCL,Oracle Corporation,Buy,Buy,Neutral,58.53675102,17.34,21.16240941,49.43121242,72.52029543,80.759446,Long Lower Shadow
MA,Mastercard Incorporated,Sell,Sell,Neutral,48.84933767,-2.15,3.451166176,-2.385442736,31.44224917,39.84838117,
COST,Costco Wholesale Corporation,Buy,Buy,Buy,49.87913784,17.16,9.360641176,8.08053648,59.93507114,60.89627296,
INTC,Intel Corporation,Strong buy,Strong buy,Neutral,83.29955721,19.81,18.72791324,178.8052129,89.41852411,85.33818043,
CAT,"Caterpillar, Inc.",Buy,Strong buy,Neutral,69.42860817,37.06,79.76196471,99.96817501,88.12867098,89.21734829,
NFLX,"Netflix, Inc.",Sell,Strong sell,Sell,38.87259088,-11.79,-3.470814706,-101.204487,2.852344481,3.656612621,
BAC,Bank of America Corporation,Buy,Strong buy,Sell,56.6778259,-0.72,2.835769118,22.93501724,41.89926286,53.66689884,
CVX,Chevron Corporation,Sell,Sell,Sell,40.68191844,-7,-9.266336765,-62.08665002,33.88712408,32.70879709,
ABBV,AbbVie Inc.,Sell,Strong sell,Neutral,32.7793366,-9.09,-9.541388824,-152.6784665,7.886176146,8.859125099,
